170;Les Identites Meurtrieres (Ldp Litterature) (French Edition) ;Book ;ISBN: 2253150053ISBN_13: 9782253150053;FR16133B5;3;Main
171;Gargantua (Folio Plus Classique) (French Edition) ;Book ;ISBN: 207031510XISBN_13: 9782070315109;FR16049B5;1;Main
172;L'Ombre du Vent (Le cimetiere des livres oublies) (FrenchEdition);Book ;ISBN: 2266233998ISBN_13: 9782266233996;FR16148B5;1;Main
173;The E-Myth Revisited: Why Most Small Businesses Don't Workand What to Do About It;Book ;ISBN: 0887307280ISBN_13: 9780887307287;BU14006B4;1;Main
174;Quand la girafe danse avec le chacal (Maxi pratiques) ;Book ;ISBN: 2889115739ISBN_13: 9782889115730;FR16175B5;1;Main
175;Winners Never Cheat: Even in Difficult Times, New andExpanded Edition;Book ;ISBN: 0137009038ISBN_13: 9780137009039;DP19090B7;1;Main
176;The Body ;Book ;ISBN: 1405882379ISBN_13: 9781405882378;LA 17070B5;1;Main
177;Equations aux Derivees Partielles et Applications / PartialDifferential Equations and Applications;Book ;ISBN: 2842990412ISBN_13: 9782842990411;MA 6031B3;1;Main
178;OCA/OCP Java SE 7 Programmer I & II Study Guide (Exams1Z0-803 & 1Z0-804) (Certification Press);Book ;ISBN: 0071772006ISBN_13: 9780071772006;IT 8015B3;1;Main
? 04/06/2025 23:49 Librarika: Reports;;;;;;
;;;;;;
https://centralib.librarika.com/reports/allCatalogCopies/page:2 6/8;;;;;;
;;;;;;
ASNNo;Title ;Type ;Identifiers ;Call No ;CopyNo;Branch
179;Rising Strong ;Book ;ISBN: 0091955033ISBN_13: 9780091955038;DP19068B7;1;Main
180;Start where you are : life lessons in getting from where youare to where you want to be;Book ;ISBN: 0061537128ISBN_13: 9780061537127;DP19073B7;1;Main
181;Act Like a Success, Think Like a Success: Discovering Your Giftand the Way to Life's Riches;Book ;ISBN: 0062220330ISBN_13: 9780062220332;DP19002B7;1;Main
182;Electron Transport in Nanostructures and MesoscopicDevices: An Introduction;Book ;ISBN: 1848210507ISBN_13: 9781848210509;PH 1403B1;1;Main
183;Les ressources insoupconnÇes de la coläre (Pratiques) ;Book ;ISBN: 2883539774ISBN_13: 9782883539778;DP19048B7;1;Main
184;"HBR's 10 Must Reads on Change Management (includingfeatured article ""Leading Change,"" by John P. Kotter)";Book ;ISBN: 1422158004ISBN_13: 9781422158005;BI 4005B2;1;Main
185;"HBR's 10 Must Reads on Managing Yourself (with bonus article""How Will You Measure Your Life?"" by Clayton M. Christensen)";Book ;ISBN: 1422157997ISBN_13: 9781422157992;DP19020B7;1;Main
186;Le Pere Goriot (French Edition) ;Book ;ISBN: 2070409341ISBN_13: 9782070409341;FR16100B5;1;Main
187;L'identitÇ, une fable philosophique (Philosophies) (FrenchEdition);Book ;ISBN: 2130568564ISBN_13: 9782130568568;PI 21010B8;1;Main
188;Les Identites Meurtrieres (Ldp Litterature) (French Edition) ;Book ;ISBN: 2253150053ISBN_13: 9782253150053;FR16133B5;4;Main
189;Le Proces Bac 2005 + Orson Welles (French Edition) ;Book ;ISBN: 2070317218ISBN_13: 9782070317219;FR16105B5;1;Main
190;Comment Se Faire Des Amis (Le Livre de Poche) (FrenchEdition);Book ;ISBN: 2253009105ISBN_13: 9782253009108;DP19010B7;3;Main
191;Blink : The Power of Thinking Without Thinking ;Book ;ISBN: 0141014598ISBN_13: 9780141014593;DP19004B7;1;Main
? 04/06/2025 23:49 Librarika: Reports;;;;;;
;;;;;;
https://centralib.librarika.com/reports/allCatalogCopies/page:2 7/8;;;;;;
;;;;;;
ASNNo;Title ;Type ;Identifiers ;Call No ;CopyNo;Branch
192;Copenhagen ;Book ;ISBN: 041377371XISBN_13: 9780413773715;LA 17137B5;1;Main
193;La bataille des Trois Rois ;Book ;ISBN: 2226021574ISBN_13: 9782226021571;FR16055B5;1;Main
194;Gestion de projets culturels - Conception, mise en oeuvre,direction: Conception, mise en oeuvre, direction (Cursus)(French Edition);Book ;ISBN: 2200613598ISBN_13: 9782200613594;GI 12008B4;1;Main
195;Nonlinear Systems Analysis (Classics in Applied Mathematics)(No. 42);Book ;ISBN: 0898715261ISBN_13: 9780898715262;MA 6063B3;1;Main
196;SYSTEMES DYNAMIQUES 2 (ETUDES) ;Book ;ISBN: 2354120311ISBN_13: 9782354120313;MA 6082B3;1;Main
197;Calcul scientifique - 2äme Çdition - Cours et exercices corrigÇs:Cours et exercices corrigÇs (Sciences Sup) (French Edition);Book ;ISBN: 2100045512ISBN_13: 9782100045518;MA 6014B3;1;Main
198;Fluid Mechanics 8e In SI Units ;Book ;ISBN: 9814720178ISBN_13: 9789814720175;PH 253B1;2;Main
199;physique quantique t1 3ed (SAVOIRS ACTUELS) ;Book ;ISBN: 2759808033ISBN_13: 9782759808038;PH 1414B1;1;Main
? Page 2 of 20, showing 100 records out of 1942 total, starting on record 101, ending on 200;;;;;;
;;;;;;
04/06/2025 23:49 Librarika: Reports;;;;;;
;;;;;;
https://centralib.librarika.com/reports/allCatalogCopies/page:2 8/8;;;;;;
;;;;;;
ASNNo;Title ;Type ;Identifiers ;Call No ;CopyNo;Branch
200;Le Pendule de Foucault (Ldp Litterature) (French Edition) ;Book ;ISBN: 2253059498ISBN_13: 9782253059493;FR16099B5;1;Main
201;MILLENIUM 3 LA REINE DANS LE PALAIS DES COURANTS D'AIRBABEL NOIR;Book ;ISBN: 2330014422ISBN_13: 9782330014421;FR16156B5;1;Main
202;"MILLENIUM T 2 ; LA FILLE QUI REVAIT D'UN BIDON D'ESSENCEET D'UNE ALLUMETTE";Book ;ISBN: 2742797874ISBN_13: 9782742797875;FR16157B5;1;Main
203;L'Islam expliquÇ aux enfants (et Ö leurs parents) (ExpliquÇ Ö ...)(French Edition);Book ;ISBN: 2021064425ISBN_13: 9782021064421;FR16146B5;1;Main
204;MILLENIUM T1 LES HOMMES QUI N'AIMAIENT PAS LESFEMMES BABEL NOIR 37;Book ;ISBN: 2330004990ISBN_13: 9782330004996;FR16158B5;1;Main
205;Radar Equations for Modern Radar (Artech House Radar) ;Book ;ISBN: 1608075214ISBN_13: 9781608075218;MA 6074B3;1;Main
206;Electronic Transport in Mesoscopic Systems (CambridgeStudies in Semiconductor Physics and MicroelectronicEngineering);Book ;ISBN: 0521599431ISBN_13: 9780521599436;PH 1 B1 ;1;Main
207;Desert (Collection Folio, 1670) (French Edition) ;Book ;ISBN: 2070376702ISBN_13: 9782070376704;FR16036B5;1;Main
208;Notre-Dame du Nil ;Book ;ISBN: 2070456315ISBN_13: 9782070456314;FR16163B5;1;Main
209;Les Identites Meurtrieres (Ldp Litterature) (French Edition) ;Book ;ISBN: 2253150053ISBN_13: 9782253150053;FR16133B5;5;Main
210;Green's Functions with Applications (Advances in AppliedMathematics);Book ;ISBN: 1482251027ISBN_13: 9781482251029;MA 6035B3;1;Main
211;Dora Bruder (Folio (Gallimard)) (French Edition) ;Book ;ISBN: 2070408485ISBN_13: 9782070408481;FR16041B5;1;Main
? Report: All Copies ? May 6, 2025 - June 4, 2025 ?;;;;;;
;;;;;;
04/06/2025 23:49 Librarika: Reports;;;;;;
;;;;;;
https://centralib.librarika.com/reports/allCatalogCopies/page:3 1/8;;;;;;
;;;;;;
ASNNo;Title ;Type ;Identifiers ;Call No ;CopyNo;Branch
212;Traitement du signal - ReprÇsentation des signaux etsystämes continus (RÇfÇrences sciences);Book ;ISBN: 2340011507ISBN_13: 9782340011502;PH 3 B1 ;1;Main
213;Les Noces fabuleuses du Polonais (Best) (French Edition) ;Book ;ISBN: 2266267299ISBN_13: 9782266267298;FR16136B5;8;Main
214;Les Identites Meurtrieres (Ldp Litterature) (French Edition) ;Book ;ISBN: 2253150053ISBN_13: 9782253150053;FR16133B5;6;Main
215;Les Identites Meurtrieres (Ldp Litterature) (French Edition) ;Book ;ISBN: 2253150053ISBN_13: 9782253150053;FR16133B5;7;Main
216;Contre-Histoire de la Philosophie Tome 6: Les RadicalitÇsExistentielles: Contre-Histoire de la Philosophie T.6 (Le Livrede Poche) (French Edition);Book ;ISBN: 2253084700ISBN_13: 9782253084709;PI 21001B8;1;Main
217;Le Boson et le Chapeau Mexicain (Folio essais) (FrenchEdition);Book ;ISBN: 2070355497ISBN_13: 9782070355495;FR16082B5;1;Main
218;LHC : le boson de Higgs (Le Colläge) (French Edition) ;Book ;ISBN: 2746506777ISBN_13: 9782746506770;SH18031B6;2;Main
219;Level 5: Heart of Darkness (2nd Edition) (Penguin Readers:Level 5);Book ;ISBN: 140588245XISBN_13: 9781405882453;LA 17045B5;1;Main
220;Cold Mountain ;Book ;ISBN: 1405882417ISBN_13: 9781405882415;LA 17011B5;1;Main
221;Level 5: Wuthering Heights (2nd Edition) (Penguin Readers:Level 5);Book ;ISBN: 1405865210ISBN_13: 9781405865210;LA 17049B5;1;Main
222;Level 5: Pride and Prejudice (2nd Edition) (Penguin Readers:Level 5);Book ;ISBN: 1405862467ISBN_13: 9781405862462;LA 17046B5;1;Main
223;The E-Myth Revisited: Why Most Small Businesses Don't Workand What to Do About It;Book ;ISBN: 0887307280ISBN_13: 9780887307287;BU14006B4;2;Main
224;Fundamentals of Statistical and Thermal Physics (McGraw-HillSeries in Fundamentals of Physics);Book ;ISBN: 0070518009ISBN_13: 9780070518001;PH 254B1;1;Main
? 04/06/2025 23:49 Librarika: Reports;;;;;;
;;;;;;
https://centralib.librarika.com/reports/allCatalogCopies/page:3 2/8;;;;;;
;;;;;;
ASNNo;Title ;Type ;Identifiers ;Call No ;CopyNo;Branch
225;The Innovator's Dilemma: When New Technologies CauseGreat Firms to Fail (Management of Innovation and Change);Book ;ISBN: 1633691780ISBN_13: 9781633691780;BU14007B4;1;Main
226;Principes de l'Çconomie 4äme ED (Ouvertures Çconomiques)(French Edition);Book ;ISBN: 2804193063ISBN_13: 9782804193065;EF 10020B3;1;Main
227;Unfinished Business ;Book ;ISBN: 1408809443ISBN_13: 9781408809440;LA 17080B5;1;Main
228;MÇthodes numÇriques et optimisation : ThÇorie et pratiquepour l'ingÇnieur;Book ;ISBN: 2743013176ISBN_13: 9782743013172;MA 6056B3;1;Main
229;Level 5: Pride and Prejudice (2nd Edition) (Penguin Readers:Level 5);Book ;ISBN: 1405862467ISBN_13: 9781405862462;LA 17046B5;2;Main
230;La lecture rapide (Les Guides Buzan) (French Edition) ;Book ;ISBN: 2212552157ISBN_13: 9782212552157;FR16067B5;1;Main
231;Pourquoi la tartine tombe toujours du cìtÇ du beurre - La Loide Murphy expliquÇe Ö tous: La Loi de Murphy expliquÇe Ötous (DD.ESSAI TTPUBL);Book ;ISBN: 2100716786ISBN_13: 9782100716784;FR16172B5;1;Main
232;A Time to Kill (Penguin Longman Penguin Readers) ;Book ;ISBN: 1405882557ISBN_13: 9781405882552;LA 17005B5;1;Main
233;Getting Things Done ;Book ;ISBN: 0349408947ISBN_13: 9780349408941;DP19016B7;1;Main
234;Boyd: The Fighter Pilot Who Changed the Art of War ;Book ;ISBN: 0316881465ISBN_13: 9780316881463;LA 17009B5;1;Main
235;Econometric Analysis ;Book ;ISBN: 0273753568ISBN_13: 9780273753568;EF 10002B3;1;Main
236;Power Broker ;Book ;ISBN: 184792364XISBN_13: 9781847923646;DP19063B7;1;Main
237;hydrodynamique physique 3e edition (SAVOIRS ACTUELS) ;Book ;ISBN: 2759805611ISBN_13: 9782759805617;PH 256B1;1;Main
? 04/06/2025 23:49 Librarika: Reports;;;;;;
;;;;;;
https://centralib.librarika.com/reports/allCatalogCopies/page:3 3/8;;;;;;
;;;;;;
ASNNo;Title ;Type ;Identifiers ;Call No ;CopyNo;Branch
238;Predictably Irrational: The Hidden Forces That Shape OurDecisions;Book ;ISBN: 0007256531ISBN_13: 9780007256532;DP19064B7;1;Main
239;Analyse numÇrique et optimisation: Nouvelle Çdition (ECOLEPOLYTECHNIQUE) (French Edition);Book ;ISBN: 2730212558ISBN_13: 9782730212557;MA 6010B3;1;Main
240;êlÇments de physique statistique (Les cours) (French Edition) ;Book ;ISBN: 2722509482ISBN_13: 9782722509481;PH 1806B1;2;Main
241;GÇrer les rÇfÇrences produits standardiser ou diversifier: lamÇthode diversitÇ (ED ORGANISATION);Book ;ISBN: 2708130072ISBN_13: 9782708130074;GI 12006B4;2;Main
242;GÇrer les rÇfÇrences produits standardiser ou diversifier: lamÇthode diversitÇ (ED ORGANISATION);Book ;ISBN: 2708130072ISBN_13: 9782708130074;GI 12006B4;3;Main
243;Gesti¢n de precios (Libros profesionales) (Spanish Edition) ;Book ;ISBN: 847356538XISBN_13: 9788473565387;MK 15004B4;1;Main
244;Discours de la mÇthode: pour bien conduire sa raison, etchercher la vÇritÇ dans les sciences (Philosophie);Book ;ISBN: 2290075310ISBN_13: 9782290075319;FR16039B5;1;Main
245;MÇcanique des milieux continus : Tome 1 : ConceptsgÇnÇraux (1CÇdÇrom);Book ;ISBN: 2730212450ISBN_13: 9782730212458;PH 258B1;1;Main
246;MÇcanique des fluides ;Book ;ISBN: 2854289293ISBN_13: 9782854289299;PH 257B1;2;Main
247;Maåtriser les progiciels ERP (GESTION G) ;Book ;ISBN: 2717867996ISBN_13: 9782717867992;IT 8011B3;1;Main
248;Mind Map: Dessine-moi l'intelligence. (Les Guides Buzan)(French Edition);Book ;ISBN: 2212553315ISBN_13: 9782212553314;DP19055B7;1;Main
249;Communications sur fibres optiques ;Book ;ISBN: 2746246600ISBN_13: 9782746246607;IT 8005B3;1;Main
250;Signaux alÇatoires et processus stochastiques ;Book ;ISBN: 2746245582ISBN_13: 9782746245587;PH 2 B1 ;1;Main
? 04/06/2025 23:49 Librarika: Reports;;;;;;
;;;;;;
https://centralib.librarika.com/reports/allCatalogCopies/page:3 4/8;;;;;;
;;;;;;
ASNNo;Title ;Type ;Identifiers ;Call No ;CopyNo;Branch
251;RelativitÇ gÇnÇrale et astrophysique problämes et exercicescorrigÇs (GRENOBLE SCIENCES);Book ;ISBN: 2759817490ISBN_13: 9782759817498;PH 1881B1;1;Main
252;Analyse numÇrique et optimisation: Nouvelle Çdition (ECOLEPOLYTECHNIQUE) (French Edition);Book ;ISBN: 2730212558ISBN_13: 9782730212557;MA 6010B3;2;Main
253;An Introduction to Multivariate Statistical Analysis ;Book ;ISBN: 0471360910ISBN_13: 9780471360919;MA 6007B3;1;Main
254;êlÇments de physique statistique (Les cours) (French Edition) ;Book ;ISBN: 2722509482ISBN_13: 9782722509481;PH 1806B1;3;Main
255;Petite introduction Ö la thÇorie des cordes (UniverSciences)(French Edition);Book ;ISBN: 2100578553ISBN_13: 9782100578559;PH 1869B1;1;Main
256;Economic and Financial Decisions under Risk ;Book ;ISBN: 0691122156ISBN_13: 9780691122151;EF 10003B3;3;Main
257;Forme et origine de l'Univers - Regards philosophiques sur lacosmologie: Regards philosophiques sur la cosmologie(UniverSciences) (French Edition);Book ;ISBN: 2100547836ISBN_13: 9782100547838;PI 21007B8;1;Main
258;Sophrologie et Sport - Manuel pratique: Manuel pratique(DÇveloppement personnel et accompagnement) (FrenchEdition);Book ;ISBN: 2729617027ISBN_13: 9782729617028;DP19071B7;1;Main
259;L ANTI OEDIPE CAPITALISME ET SCHIZOPHRENIE 1 (CRITIQUE) ;Book ;ISBN: 2707300675ISBN_13: 9782707300676;PI 21008B8;1;Main
260;Traite de physique et de philosophie (French Edition) ;Book ;ISBN: 2213611904ISBN_13: 9782213611907;PH 1887B1;1;Main
261;Le capital au XXI siäcle (French Edition) (Les Livres du nouveaumonde);Book ;ISBN: 2021082288ISBN_13: 9782021082289;EF 10014B3;1;Main
262;ExtÇrieur monde (Blanche) (French Edition) ;Book ;ISBN: 2072844940ISBN_13: 9782072844942;FR16045B5;1;Main
263;Pantopie : de Hermäs Ö Petite Poucette (Essais & Documents)(French Edition);Book ;ISBN: 2746505932ISBN_13: 9782746505933;FR16166B5;1;Main
? 04/06/2025 23:49 Librarika: Reports;;;;;;
;;;;;;
https://centralib.librarika.com/reports/allCatalogCopies/page:3 5/8;;;;;;
;;;;;;
ASNNo;Title ;Type ;Identifiers ;Call No ;CopyNo;Branch
264;"Le Petit Grevisse / Small Grevisse (Wallonie, art et histoire ; 33)(French Edition)";Book ;ISBN: 2801100870ISBN_13: 9782801100875;FR16101B5;1;Main
265;Endogenous Growth Theory (The MIT Press) ;Book ;ISBN: 0262528460ISBN_13: 9780262528467;EC23029B10;2;Main
266;THE SIX SIGMA WAY : How to Maximize the Impact of YourChange and Improvement Efforts;Book ;ISBN_13: 9780071497329 ;GI12024B4;1;Main
267;Variation et optimisation de formes: Une analysegÇomÇtrique (MathÇmatiques et Applications) (FrenchEdition);Book ;ISBN: 3540262113ISBN_13: 9783540262114;MA 6092B3;1;Main
268;The Feynman Lectures on Physics, Vol. II: The New MillenniumEdition: Mainly Electromagnetism and Matter (FeynmanLectures on Physics (Paperback)) (Volume 2);Book ;ISBN: 0465024947ISBN_13: 9780465024940;PH 1312B1;1;Main
269;Fundamentals of Signals and Systems Using the Web andMATLAB;Book ;ISBN: 1292025980ISBN_13: 9781292025988;IT 8010B3;1;Main
270;Nonlinear Systems Pnie ;Book ;ISBN: 1292039213ISBN_13: 9781292039213;MA 6064B3;1;Main
271;Pouvoir Illimite (Aventure Secrete) (French Edition) ;Book ;ISBN: 2290008559ISBN_13: 9782290008553;DP19062B7;1;Main
272;Les ressources insoupconnÇes de la coläre (Pratiques) ;Book ;ISBN: 2883539774ISBN_13: 9782883539778;DP19048B7;2;Main
273;Maåtriser les progiciels ERP (GESTION G) ;Book ;ISBN: 2717867996ISBN_13: 9782717867992;IT 8011B3;2;Main
274;LES SCIENCES ARABES EN AFRIQUE (Manuscrits du dÇsert)(French Edition);Book ;ISBN: 2909550761ISBN_13: 9782909550763;SH18028B6;2;Main
275;LES SCIENCES ARABES EN AFRIQUE (Manuscrits du dÇsert)(French Edition);Book ;ISBN: 2909550761ISBN_13: 9782909550763;SH18028B6;3;Main
276;Dictionnaire culturel du sport (French Edition) ;Book ;ISBN: 2200355475ISBN_13: 9782200355470;DI 24004B10;1;Main
277;Parler en public avec succäs (Livres outils - EfficacitÇprofessionnelle) (French Edition);Book ;ISBN: 2212545282ISBN_13: 9782212545289;DP19060B7;1;Main
? 04/06/2025 23:49 Librarika: Reports;;;;;;
;;;;;;
https://centralib.librarika.com/reports/allCatalogCopies/page:3 6/8;;;;;;
;;;;;;
ASNNo;Title ;Type ;Identifiers ;Call No ;CopyNo;Branch
278;Rebecca (Penguin Longman Penguin Readers) ;Book ;ISBN: 1405862475ISBN_13: 9781405862479;LA 17063B5;1;Main
279;Charlotte [ edition poche ] (Folio) (French Edition) ;Book ;ISBN: 2070469239ISBN_13: 9782070469239;FR16023B5;1;Main
280;Hydrodynamic Instability and Transition to Turbulence (FluidMechanics and Its Applications);Book ;ISBN: 9400742363ISBN_13: 9789400742369;PH 255B1;1;Main
281;Engrenages cylindriques de transmission de puissance - êtudegÇomÇtrique - 2e Çdition;Book ;ISBN: 2340011744ISBN_13: 9782340011748;PH 252B1;1;Main
282;Fundamentals of Signals and Systems Using the Web andMATLAB;Book ;ISBN: 1292025980ISBN_13: 9781292025988;IT 8010B3;2;Main
283;What Kind of Life: The Limits of Medical Progress ;Book ;ISBN: 0671732900ISBN_13: 9780671732905;SH18043B6;1;Main
284;Les Objets fractals: FORME, HASARD ET DIMENSION (Champssciences) (French Edition);Book ;ISBN: 2081246171ISBN_13: 9782081246171;SH18026B6;1;Main
285;MÇcanique expÇrimentale des fluides - Tome 1 - 5äme Çdition(MÇcanique expÇrimentale des fluides (1)) (French Edition);Book ;ISBN: 2100067001ISBN_13: 9782100067008;PH 259B1;1;Main
286;ProbabilitÇs pour les sciences de l'ingÇnieur - Cours etexercices corrigÇs: Cours et exercices corrigÇs (Sciences Sup)(French Edition);Book ;ISBN: 2100596152ISBN_13: 9782100596157;MA 6071B3;1;Main
287;GÇrer les rÇfÇrences produits standardiser ou diversifier: lamÇthode diversitÇ (ED ORGANISATION);Book ;ISBN: 2708130072ISBN_13: 9782708130074;GI 12006B4;4;Main
288;Recherche opÇrationnelle: Aspects mathÇmatiques etapplications (ECOLE POLYTECHNIQUE) (French Edition);Book ;ISBN: 2730216413ISBN_13: 9782730216418;GI 12018B4;1;Main
289;GÇrer les rÇfÇrences produits standardiser ou diversifier: lamÇthode diversitÇ (ED ORGANISATION);Book ;ISBN: 2708130072ISBN_13: 9782708130074;GI 12006B4;5;Main
290;Distribuci¢n comercial (Libros profesionales) (SpanishEdition);Book ;ISBN: 8473565371ISBN_13: 9788473565370;GI 12003B4;1;Main
? 04/06/2025 23:49 Librarika: Reports;;;;;;
;;;;;;
https://centralib.librarika.com/reports/allCatalogCopies/page:3 7/8;;;;;;
;;;;;;
ASNNo;Title ;Type ;Identifiers ;Call No ;CopyNo;Branch
291;DIRECCION DE VENTAS - 8 EDICION ;Book ;ISBN: 8473565959ISBN_13: 9788473565950;FR16038B5;1;Main
292;Les fibres optiques : Notions fondamentales (CÉbles,Connectique, Composants, Protocoles, RÇseaux...);Book ;ISBN: 2746096498ISBN_13: 9782746096493;PH 501B1;1;Main
293;DIRECCI‡N DE MARKETING - Fundamentos y aplicaciones ;Book ;ISBN: 8473564847ISBN_13: 9788473564847;MK 15002B4;1;Main
294;INTRODUCTION ∑ L'êCONOMêTRIE - 2‘ME êDITION (PRêCISDOMAT);Book ;ISBN: 2707613983ISBN_13: 9782707613981;EF 10012B3;2;Main
295;Histoire du Maroc (French Edition) ;Book ;ISBN: 2741300224ISBN_13: 9782741300229;HP20014B8;1;Main
296;OPTIONS FUTURES & AUT. ACTIFS DERIVES 9E (ECO GESTION)(French Edition);Book ;ISBN: 2326000498ISBN_13: 9782326000490;EF 10019B3;1;Main
297;elÇments de micro-Çconomie. thÇorie et applications - 8ämeÇdition (PRêCIS DOMAT);Book ;ISBN: 2707617326ISBN_13: 9782707617323;EF 10008B3;2;Main
298;Le Boson et le Chapeau Mexicain (Folio essais) (FrenchEdition);Book ;ISBN: 2070355497ISBN_13: 9782070355495;FR16082B5;2;Main
299;La place de L'Çtoile (Folio) (French Edition) ;Book ;ISBN: 2070366987ISBN_13: 9782070366989;FR16171B5;1;Main
? Page 3 of 20, showing 100 records out of 1942 total, starting on record 201, ending on 300;;;;;;
;;;;;;
04/06/2025 23:49 Librarika: Reports;;;;;;
;;;;;;
https://centralib.librarika.com/reports/allCatalogCopies/page:3 8/8;;;;;;
;;;;;;
ASNNo;Title ;Type ;Identifiers ;Call No ;CopyNo;Branch
300;Aide-mÇmoire des ÇlÇments finis - NP (French Edition) ;Book ;ISBN: 2100596934ISBN_13: 9782100596935;MA 6004B3;1;Main
302;RelativitÇ gÇnÇrale (Physique) (French Edition) ;Book ;ISBN: 2804101266ISBN_13: 9782804101268;PH 1880B1;1;Main
